Reporting Area,MMWR Year,MMWR Week,"Gonorrhea, Current week","Gonorrhea, Current week, flag","Gonorrhea, Previous 52 weeks Max†","Gonorrhea, Previous 52 weeks Max†, flag","Gonorrhea, Cum 2019†","Gonorrhea, Cum 2019†, flag","Gonorrhea, Cum 2018†","Gonorrhea, Cum 2018†, flag","Haemophilus influenza, invasive disease, (all ages, all serotypes), All ages, all serotypes, Current week","Haemophilus influenza, invasive disease, (all ages, all serotypes), All ages, all serotypes, Current week, flag","Haemophilus influenza, invasive disease, (all ages, all serotypes), All ages, all serotypes, Previous 52 weeks Max†","Haemophilus influenza, invasive disease, (all ages, all serotypes), All ages, all serotypes, Previous 52 weeks Max†, flag","Haemophilus influenza, invasive disease, (all ages, all serotypes), All ages, all serotypes, Cum 2019†","Haemophilus influenza, invasive disease, (all ages, all serotypes), All ages, all serotypes, Cum 2019†, flag","Haemophilus influenza, invasive disease, (all ages, all serotypes), All ages, all serotypes, Cum 2018†","Haemophilus influenza, invasive disease, (all ages, all serotypes), All ages, all serotypes, Cum 2018†, flag","Haemophilus influenza, invasive disease (age <5 years), Serotype b, Current week","Haemophilus influenza, invasive disease (age <5 years), Serotype b, Current week, flag","Haemophilus influenza, invasive disease (age <5 years), Serotype b, Previous 52 weeks Max†","Haemophilus influenza, invasive disease (age <5 years), Serotype b, Previous 52 weeks Max†, flag","Haemophilus influenza, invasive disease (age <5 years), Serotype b, Cum 2019†","Haemophilus influenza, invasive disease (age <5 years), Serotype b, Cum 2019†, flag","Haemophilus influenza, invasive disease (age <5 years), Serotype b, Cum 2018†","Haemophilus influenza, invasive disease (age <5 years), Serotype b, Cum 2018†, flag",Location 1,Location 2,Reporting Area Sort
MASSACHUSETTS,2019,1,,-,202,,,-,104,,,-,7,,,-,6,,,-,1,,,-,,-,"MASSACHUSETTS
(42.151077, -71.481104)",,20190105
NEW HAMPSHIRE,2019,1,,-,24,,,-,8,,,-,3,,,-,2,,,-,1,,,-,1,,"NEW HAMPSHIRE
(43.680429, -71.57139)",,20190106
RHODE ISLAND,2019,1,,-,53,,,-,2,,,-,4,,,-,,-,,-,1,,,-,,-,"RHODE ISLAND
(41.572574, -71.534637)",,20190107
VERMONT,2019,1,,-,10,,,-,,-,,-,3,,,-,2,,,-,0,,,-,,-,"VERMONT
(44.075252, -72.662695)",,20190108
MIDDLE ATLANTIC,2019,1,279,,1490,,279,,734,,10,,27,,10,,13,,,-,1,,,-,,-,,MIDDLE ATLANTIC,20190109
NEW JERSEY,2019,1,38,,217,,38,,124,,,-,10,,,-,6,,,-,0,,,-,,-,"NEW JERSEY
(40.110253, -74.655514)",,20190110
NEW YORK,2019,1,45,,287,,45,,58,,,-,9,,,-,,-,,-,1,,,-,,-,"NEW YORK
(42.921241, -75.59655)",,20190111
NEW YORK CITY,2019,1,,-,687,,,-,326,,2,,8,,2,,,-,,-,0,,,-,,-,,NEW YORK CITY,20190112
PENNSYLVANIA,2019,1,196,,367,,196,,226,,8,,12,,8,,7,,,-,0,,,-,,-,"PENNSYLVANIA
(40.896694, -77.838886)",,20190113
EAST NORTH CENTRAL,2019,1,385,,1934,,385,,1344,,12,,31,,12,,31,,,-,2,,,-,,-,,EAST NORTH CENTRAL,20190114
ILLINOIS,2019,1,20,,529,,20,,404,,,-,11,,,-,8,,,-,2,,,-,,-,"ILLINOIS
(40.124144, -89.148632)",,20190115
INDIANA,2019,1,,-,309,,,-,201,,,-,7,,,-,4,,,-,2,,,-,,-,"INDIANA
(39.919991, -86.2818)",,20190116
MICHIGAN,2019,1,91,,435,,91,,230,,1,,8,,1,,7,,,-,1,,,-,,-,"MICHIGAN
(44.874798, -85.730977)",,20190117
OHIO,2019,1,187,,591,,187,,391,,11,,13,,11,,7,,,-,1,,,-,,-,"OHIO
(40.415534, -82.70936)",,20190118
WISCONSIN,2019,1,87,,208,,87,,118,,,-,5,,,-,5,,,-,0,,,-,,-,"WISCONSIN
(44.639954, -89.732969)",,20190119
WEST NORTH CENTRAL,2019,1,209,,911,,209,,651,,,-,13,,,-,9,,,-,1,,,-,,-,,WEST NORTH CENTRAL,20190120
KANSAS,2019,1,31,,131,,31,,87,,,-,2,,,-,1,,,-,0,,,-,,-,"KANSAS
(38.484729, -98.38018)",,20190122
MINNESOTA,2019,1,,-,191,,,-,131,,,-,3,,,-,,-,,-,0,,,-,,-,"MINNESOTA
(46.349153, -94.198308)",,20190123
MISSOURI,2019,1,169,,393,,169,,256,,,-,10,,,-,8,,,-,0,,,-,,-,"MISSOURI
(38.3675, -92.477244)",,20190124
NEBRASKA,2019,1,,-,106,,,-,38,,,-,3,,,-,,-,,-,1,,,-,,-,"NEBRASKA
(41.527099, -99.810595)",,20190125
NORTH DAKOTA,2019,1,2,,38,,2,,14,,,-,2,,,-,,-,,-,0,,,-,,-,"NORTH DAKOTA
(47.446305, -100.46931)",,20190126
SOUTH DAKOTA,2019,1,1,,50,,1,,27,,,-,2,,,-,,-,,-,0,,,-,,-,"SOUTH DAKOTA
(44.43614, -100.230491)",,20190127
SOUTH ATLANTIC,2019,1,266,,2531,,266,,1575,,8,,40,,8,,29,,,-,1,,,-,,-,,SOUTH ATLANTIC,20190128
DELAWARE,2019,1,,-,79,,,-,,-,,-,3,,,-,1,,,-,0,,,-,,-,"DELAWARE
(38.994926, -75.452394)",,20190129
DISTRICT OF COLUMBIA,2019,1,,-,109,,,-,29,,,-,3,,,-,1,,,-,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.904785, -77.016275)",,20190130
FLORIDA,2019,1,82,,759,,82,,245,,4,,14,,4,,5,,,-,0,,,-,,-,"FLORIDA
(28.260731, -82.420978)",,20190131
GEORGIA,2019,1,,-,478,,,-,233,,4,,10,,4,,5,,,-,0,,,-,,-,"GEORGIA
(32.638481, -83.426574)",,20190132
MARYLAND,2019,1,4,,262,,4,,262,,,-,9,,,-,7,,,-,0,,,-,,-,"MARYLAND
(38.946466, -76.687282)",,20190133
NORTH CAROLINA,2019,1,1,,503,,1,,411,,,-,7,,,-,6,,,-,1,,,-,,-,"NORTH CAROLINA
(35.52603, -79.130883)",,20190134
SOUTH CAROLINA,2019,1,,-,462,,,-,222,,,-,6,,,-,4,,,-,0,,,-,,-,"SOUTH CAROLINA
(33.878572, -80.864614)",,20190135
VIRGINIA,2019,1,179,,430,,179,,154,,,-,6,,,-,,-,,-,0,,,-,,-,"VIRGINIA
(37.510861, -78.666382)",,20190136
WEST VIRGINIA,2019,1,,-,43,,,-,19,,,-,4,,,-,,-,,-,1,,,-,,-,"WEST VIRGINIA
(38.642579, -80.613729)",,20190137
EAST SOUTH CENTRAL,2019,1,69,,1007,,69,,607,,,-,22,,,-,14,,,-,1,,,-,,-,,EAST SOUTH CENTRAL,20190138
ALABAMA,2019,1,,-,386,,,-,193,,,-,7,,,-,1,,,-,0,,,-,,-,"ALABAMA
(32.756889, -86.844516)",,20190139
KENTUCKY,2019,1,,-,215,,,-,16,,,-,7,,,-,4,,,-,1,,,-,,-,"KENTUCKY
(37.526683, -85.290484)",,20190140
MISSISSIPPI,2019,1,11,,225,,11,,219,,,-,5,,,-,1,,,-,0,,,-,,-,"MISSISSIPPI
(32.713378, -89.65344)",,20190141
TENNESSEE,2019,1,58,,348,,58,,179,,,-,11,,,-,8,,,-,0,,,-,,-,"TENNESSEE
(35.842998, -86.343226)",,20190142
WEST SOUTH CENTRAL,2019,1,14,,2113,,14,,1386,,2,,34,,2,,1,,,-,1,,,-,,-,,WEST SOUTH CENTRAL,20190143
ARKANSAS,2019,1,,-,165,,,-,161,,,-,5,,,-,,-,,-,0,,,-,,-,"ARKANSAS
(34.899825, -92.439162)",,20190144
LOUISIANA,2019,1,,-,322,,,-,171,,,-,5,,,-,,-,,-,0,,,-,,-,"LOUISIANA
(30.921314, -91.840238)",,20190145
OKLAHOMA,2019,1,14,,182,,14,,121,,2,,8,,2,,,-,,-,0,,,-,,-,"OKLAHOMA
(35.583449, -97.508297)",,20190146
TEXAS,2019,1,,-,1575,,,-,933,,,-,26,,,-,1,,,-,1,,,-,,-,"TEXAS
(31.447238, -99.317341)",,20190147
MOUNTAIN,2019,1,201,,868,,201,,705,,10,,16,,10,,14,,,-,1,,,-,,-,,MOUNTAIN,20190148
ARIZONA,2019,1,22,,299,,22,,258,,4,,7,,4,,3,,,-,1,,,-,,-,"ARIZONA
(34.293239, -111.664616)",,20190149
COLORADO,2019,1,139,,270,,139,,193,,4,,5,,4,,4,,,-,1,,,-,,-,"COLORADO
(38.998552, -105.547832)",,20190150
IDAHO,2019,1,,-,44,,,-,16,,,-,2,,,-,2,,,-,0,,,-,,-,"IDAHO
(44.389073, -114.659366)",,20190151
MONTANA,2019,1,15,,36,,15,,5,,,-,2,,,-,1,,,-,1,,,-,,-,"MONTANA
(47.033521, -109.645127)",,20190152
NEVADA,2019,1,,-,128,,,-,76,,,-,2,,,-,1,,,-,0,,,-,,-,"NEVADA
(39.283294, -114.916992)",,20190153
NEW MEXICO,2019,1,2,,136,,2,,96,,,-,4,,,-,,-,,-,1,,,-,,-,"NEW MEXICO
(34.421369, -106.108388)",,20190154
UTAH,2019,1,23,,81,,23,,51,,2,,3,,2,,3,,,-,0,,,-,,-,"UTAH
(39.323779, -111.678222)",,20190155
WYOMING,2019,1,,-,11,,,-,10,,,-,1,,,-,,-,,-,0,,,-,,-,"WYOMING
(42.999627, -107.55145)",,20190156
PACIFIC,2019,1,312,,2094,,312,,1697,,,-,9,,,-,6,,,-,1,,,-,,-,,PACIFIC,20190157
ALASKA,2019,1,,-,58,,,-,51,,,-,2,,,-,,-,,-,0,,,-,,-,"ALASKA
(63.631126, -151.631889)",,20190158
CALIFORNIA,2019,1,106,,1743,,106,,1391,,,-,4,,,-,4,,,-,0,,,-,,-,"CALIFORNIA
(37.211164, -119.662127)",,20190159
HAWAII,2019,1,,-,67,,,-,54,,,-,4,,,-,,-,,-,0,,,-,,-,"HAWAII
(21.361013, -157.854309)",,20190160
OREGON,2019,1,94,,149,,94,,101,,,-,7,,,-,2,,,-,0,,,-,,-,"OREGON
(43.940449, -120.605279)",,20190161
WASHINGTON,2019,1,112,,230,,112,,100,,,-,2,,,-,,-,,-,1,,,-,,-,"WASHINGTON
(47.411715, -120.592492)",,20190162
U.S. VIRGIN ISLANDS,2019,1,,-,4,,,-,,-,,N,,NC,,N,,N,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",,20190168
TOTAL,2019,1,1735,,12432,,1735,,8830,,42,,156,,42,,129,,,-,3,,,-,1,,,TOTAL,20190170
US RESIDENTS,2019,2,3392,,12587,,7504,,20496,,65,,156,,123,,285,,,-,3,,,-,1,,,US RESIDENTS,20190201
NEW ENGLAND,2019,2,3,,263,,15,,352,,,-,12,,,-,20,,,-,1,,,-,1,,,NEW ENGLAND,20190202
CONNECTICUT,2019,2,,U,,NC,,U,,U,,-,5,,,-,3,,,-,0,,,-,,-,"CONNECTICUT
(41.575155, -72.738288)",,20190203
MAINE,2019,2,,-,25,,,-,28,,,-,3,,,-,3,,,-,0,,,-,,-,"MAINE
(45.117911, -69.06137)",,20190204
MASSACHUSETTS,2019,2,,-,202,,,-,306,,,-,7,,,-,8,,,-,1,,,-,,-,"MASSACHUSETTS
(42.151077, -71.481104)",,20190205
NEW HAMPSHIRE,2019,2,3,,24,,13,,14,,,-,3,,,-,4,,,-,0,,,-,1,,"NEW HAMPSHIRE
(43.680429, -71.57139)",,20190206
RHODE ISLAND,2019,2,,-,68,,2,,4,,,-,4,,,-,,-,,-,1,,,-,,-,"RHODE ISLAND
(41.572574, -71.534637)",,20190207
VERMONT,2019,2,,-,10,,,-,,-,,-,3,,,-,2,,,-,0,,,-,,-,"VERMONT
(44.075252, -72.662695)",,20190208
MIDDLE ATLANTIC,2019,2,841,,1638,,1380,,2170,,14,,27,,24,,26,,,-,1,,,-,,-,,MIDDLE ATLANTIC,20190209
NEW JERSEY,2019,2,86,,217,,215,,311,,,-,10,,,-,8,,,-,0,,,-,,-,"NEW JERSEY
(40.110253, -74.655514)",,20190210
NEW YORK,2019,2,168,,351,,213,,282,,4,,11,,4,,,-,,-,1,,,-,,-,"NEW YORK
(42.921241, -75.59655)",,20190211
NEW YORK CITY,2019,2,386,,687,,511,,846,,3,,8,,5,,4,,,-,0,,,-,,-,,NEW YORK CITY,20190212
PENNSYLVANIA,2019,2,201,,552,,441,,731,,7,,12,,15,,14,,,-,0,,,-,,-,"PENNSYLVANIA
(40.896694, -77.838886)",,20190213
EAST NORTH CENTRAL,2019,2,664,,1947,,1435,,2971,,14,,26,,29,,54,,,-,2,,,-,,-,,EAST NORTH CENTRAL,20190214
ILLINOIS,2019,2,33,,558,,130,,924,,,-,11,,2,,12,,,-,2,,,-,,-,"ILLINOIS
(40.124144, -89.148632)",,20190215
INDIANA,2019,2,,-,309,,,-,416,,,-,7,,,-,6,,,-,2,,,-,,-,"INDIANA
(39.919991, -86.2818)",,20190216
MICHIGAN,2019,2,181,,435,,369,,514,,,-,8,,1,,11,,,-,1,,,-,,-,"MICHIGAN
(44.874798, -85.730977)",,20190217
OHIO,2019,2,302,,591,,662,,831,,14,,13,,25,,20,,,-,1,,,-,,-,"OHIO
(40.415534, -82.70936)",,20190218
WISCONSIN,2019,2,148,,208,,274,,286,,,-,4,,1,,5,,,-,1,,,-,,-,"WISCONSIN
(44.639954, -89.732969)",,20190219
WEST NORTH CENTRAL,2019,2,300,,912,,703,,1438,,3,,13,,7,,22,,,-,1,,,-,,-,,WEST NORTH CENTRAL,20190220
IOWA,2019,2,1,,119,,58,,186,,,-,0,,,-,,-,,-,0,,,-,,-,"IOWA
(42.074659, -93.500061)",,20190221
KANSAS,2019,2,57,,131,,137,,184,,,-,2,,,-,1,,,-,0,,,-,,-,"KANSAS
(38.484729, -98.38018)",,20190222
MINNESOTA,2019,2,,-,191,,,-,279,,,-,3,,,-,,-,,-,0,,,-,,-,"MINNESOTA
(46.349153, -94.198308)",,20190223
MISSOURI,2019,2,235,,393,,487,,601,,2,,10,,5,,18,,,-,0,,,-,,-,"MISSOURI
(38.3675, -92.477244)",,20190224
NEBRASKA,2019,2,,-,106,,,-,97,,,-,3,,,-,,-,,-,1,,,-,,-,"NEBRASKA
(41.527099, -99.810595)",,20190225
NORTH DAKOTA,2019,2,5,,38,,13,,31,,,-,2,,1,,1,,,-,0,,,-,,-,"NORTH DAKOTA
(47.446305, -100.46931)",,20190226
SOUTH DAKOTA,2019,2,2,,50,,8,,60,,1,,2,,1,,2,,,-,0,,,-,,-,"SOUTH DAKOTA
(44.43614, -100.230491)",,20190227
SOUTH ATLANTIC,2019,2,683,,2531,,1074,,3947,,13,,40,,22,,65,,,-,1,,,-,,-,,SOUTH ATLANTIC,20190228
DELAWARE,2019,2,,-,79,,,-,34,,,-,3,,,-,2,,,-,0,,,-,,-,"DELAWARE
(38.994926, -75.452394)",,20190229
DISTRICT OF COLUMBIA,2019,2,,-,109,,,-,138,,,-,3,,,-,1,,,-,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.904785, -77.016275)",,20190230
FLORIDA,2019,2,378,,759,,546,,911,,8,,14,,12,,13,,,-,0,,,-,,-,"FLORIDA
(28.260731, -82.420978)",,20190231
GEORGIA,2019,2,,-,478,,,-,646,,1,,10,,6,,9,,,-,0,,,-,,-,"GEORGIA
(32.638481, -83.426574)",,20190232
MARYLAND,2019,2,10,,241,,52,,476,,4,,9,,4,,12,,,-,0,,,-,,-,"MARYLAND
(38.946466, -76.687282)",,20190233
NORTH CAROLINA,2019,2,2,,504,,4,,881,,,-,7,,,-,13,,,-,1,,,-,,-,"NORTH CAROLINA
(35.52603, -79.130883)",,20190234
SOUTH CAROLINA,2019,2,,-,462,,,-,485,,,-,6,,,-,9,,,-,0,,,-,,-,"SOUTH CAROLINA
(33.878572, -80.864614)",,20190235
VIRGINIA,2019,2,293,,430,,472,,339,,,-,6,,,-,4,,,-,0,,,-,,-,"VIRGINIA
(37.510861, -78.666382)",,20190236
WEST VIRGINIA,2019,2,,-,43,,,-,37,,,-,4,,,-,2,,,-,1,,,-,,-,"WEST VIRGINIA
(38.642579, -80.613729)",,20190237
EAST SOUTH CENTRAL,2019,2,135,,1007,,321,,1412,,4,,22,,5,,34,,,-,1,,,-,,-,,EAST SOUTH CENTRAL,20190238
ALABAMA,2019,2,,-,386,,,-,439,,,-,7,,,-,5,,,-,0,,,-,,-,"ALABAMA
(32.756889, -86.844516)",,20190239
KENTUCKY,2019,2,,-,215,,,-,123,,,-,7,,,-,4,,,-,1,,,-,,-,"KENTUCKY
(37.526683, -85.290484)",,20190240
MISSISSIPPI,2019,2,7,,225,,135,,417,,4,,5,,5,,6,,,-,0,,,-,,-,"MISSISSIPPI
(32.713378, -89.65344)",,20190241
TENNESSEE,2019,2,128,,361,,186,,433,,,-,11,,,-,19,,,-,0,,,-,,-,"TENNESSEE
(35.842998, -86.343226)",,20190242
WEST SOUTH CENTRAL,2019,2,29,,2117,,92,,2976,,5,,34,,7,,19,,,-,1,,,-,,-,,WEST SOUTH CENTRAL,20190243
ARKANSAS,2019,2,,-,165,,,-,303,,2,,7,,2,,1,,,-,0,,,-,,-,"ARKANSAS
(34.899825, -92.439162)",,20190244
LOUISIANA,2019,2,,-,285,,,-,403,,,-,5,,,-,3,,,-,0,,,-,,-,"LOUISIANA
(30.921314, -91.840238)",,20190245
OKLAHOMA,2019,2,29,,182,,92,,275,,2,,8,,4,,3,,,-,0,,,-,,-,"OKLAHOMA
(35.583449, -97.508297)",,20190246
TEXAS,2019,2,,-,1575,,,-,1995,,1,,26,,1,,12,,,-,1,,,-,,-,"TEXAS
(31.447238, -99.317341)",,20190247
MOUNTAIN,2019,2,236,,889,,602,,1493,,9,,16,,24,,30,,,-,1,,,-,,-,,MOUNTAIN,20190248
ARIZONA,2019,2,12,,299,,158,,507,,3,,7,,8,,10,,,-,1,,,-,,-,"ARIZONA
(34.293239, -111.664616)",,20190249
COLORADO,2019,2,161,,270,,299,,370,,5,,5,,9,,8,,,-,1,,,-,,-,"COLORADO
(38.998552, -105.547832)",,20190250
IDAHO,2019,2,,-,44,,,-,36,,,-,2,,,-,2,,,-,0,,,-,,-,"IDAHO
(44.389073, -114.659366)",,20190251
MONTANA,2019,2,18,,36,,35,,21,,,-,2,,,-,2,,,-,1,,,-,,-,"MONTANA
(47.033521, -109.645127)",,20190252
NEVADA,2019,2,,-,155,,,-,229,,,-,5,,,-,1,,,-,0,,,-,,-,"NEVADA
(39.283294, -114.916992)",,20190253
NEW MEXICO,2019,2,4,,136,,28,,202,,,-,4,,3,,2,,,-,1,,,-,,-,"NEW MEXICO
(34.421369, -106.108388)",,20190254
UTAH,2019,2,41,,81,,82,,107,,1,,3,,4,,5,,,-,0,,,-,,-,"UTAH
(39.323779, -111.678222)",,20190255
WYOMING,2019,2,,-,11,,,-,21,,,-,1,,,-,,-,,-,0,,,-,,-,"WYOMING
(42.999627, -107.55145)",,20190256
PACIFIC,2019,2,501,,2095,,1882,,3737,,3,,9,,5,,15,,,-,1,,,-,,-,,PACIFIC,20190257
ALASKA,2019,2,,-,58,,,-,86,,,-,2,,,-,2,,,-,0,,,-,,-,"ALASKA
(63.631126, -151.631889)",,20190258
CALIFORNIA,2019,2,193,,1757,,1368,,3047,,,-,3,,,-,4,,,-,0,,,-,,-,"CALIFORNIA
(37.211164, -119.662127)",,20190259
HAWAII,2019,2,,-,67,,,-,101,,,-,4,,,-,4,,,-,0,,,-,,-,"HAWAII
(21.361013, -157.854309)",,20190260
OREGON,2019,2,134,,149,,228,,230,,3,,7,,5,,5,,,-,0,,,-,,-,"OREGON
(43.940449, -120.605279)",,20190261
WASHINGTON,2019,2,174,,230,,286,,273,,,-,2,,,-,,-,,-,1,,,-,,-,"WASHINGTON
(47.411715, -120.592492)",,20190262
US TERRITORIES,2019,2,,-,19,,,-,9,,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20190263
AMERICAN SAMOA,2019,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20190264
NORTHERN MARIANA ISLANDS,2019,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",,20190265
GUAM,2019,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",,20190266
PUERTO RICO,2019,2,,-,18,,,-,8,,,-,0,,,-,,-,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",,20190267
U.S. VIRGIN ISLANDS,2019,2,,-,4,,,-,1,,,N,,NC,,N,,N,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",,20190268
NON-US RESIDENTS,2019,2,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS,20190269
TOTAL,2019,2,3392,,12601,,7504,,20505,,65,,156,,123,,285,,,-,3,,,-,1,,,TOTAL,20190270
US RESIDENTS,2019,3,3423,,12125,,14622,,30221,,43,,149,,204,,435,,,-,3,,,-,1,,,US RESIDENTS,20190301
NEW ENGLAND,2019,3,1,,263,,29,,540,,,-,12,,,-,25,,,-,1,,,-,1,,,NEW ENGLAND,20190302
CONNECTICUT,2019,3,,U,,NC,,U,,U,,-,5,,,-,3,,,-,0,,,-,,-,"CONNECTICUT
(41.575155, -72.738288)",,20190303
MAINE,2019,3,,-,25,,12,,45,,,-,3,,,-,4,,,-,0,,,-,,-,"MAINE
(45.117911, -69.06137)",,20190304
MASSACHUSETTS,2019,3,,-,190,,,-,463,,,-,7,,,-,9,,,-,1,,,-,,-,"MASSACHUSETTS
(42.151077, -71.481104)",,20190305
NEW HAMPSHIRE,2019,3,1,,24,,15,,22,,,-,3,,,-,5,,,-,0,,,-,1,,"NEW HAMPSHIRE
(43.680429, -71.57139)",,20190306
RHODE ISLAND,2019,3,,-,68,,2,,10,,,-,4,,,-,1,,,-,1,,,-,,-,"RHODE ISLAND
(41.572574, -71.534637)",,20190307
VERMONT,2019,3,,-,10,,,-,,-,,-,3,,,-,3,,,-,0,,,-,,-,"VERMONT
(44.075252, -72.662695)",,20190308
MIDDLE ATLANTIC,2019,3,819,,1639,,2505,,3414,,11,,27,,38,,49,,,-,1,,,-,,-,,MIDDLE ATLANTIC,20190309
NEW JERSEY,2019,3,66,,217,,372,,480,,,-,10,,1,,16,,,-,0,,,-,,-,"NEW JERSEY
(40.110253, -74.655514)",,20190310
NEW YORK,2019,3,205,,364,,418,,487,,7,,13,,11,,7,,,-,1,,,-,,-,"NEW YORK
(42.921241, -75.59655)",,20190311
NEW YORK CITY,2019,3,332,,689,,946,,1282,,2,,8,,7,,5,,,-,0,,,-,,-,,NEW YORK CITY,20190312
PENNSYLVANIA,2019,3,216,,551,,769,,1165,,2,,12,,19,,21,,,-,0,,,-,,-,"PENNSYLVANIA
(40.896694, -77.838886)",,20190313
EAST NORTH CENTRAL,2019,3,556,,1957,,2441,,4548,,5,,26,,40,,79,,,-,2,,,-,,-,,EAST NORTH CENTRAL,20190314
ILLINOIS,2019,3,32,,559,,317,,1367,,,-,11,,5,,15,,,-,2,,,-,,-,"ILLINOIS
(40.124144, -89.148632)",,20190315
INDIANA,2019,3,,-,309,,,-,629,,,-,7,,2,,10,,,-,2,,,-,,-,"INDIANA
(39.919991, -86.2818)",,20190316
MICHIGAN,2019,3,136,,442,,565,,850,,,-,8,,2,,19,,,-,1,,,-,,-,"MICHIGAN
(44.874798, -85.730977)",,20190317
OHIO,2019,3,259,,592,,1133,,1282,,5,,14,,30,,30,,,-,1,,,-,,-,"OHIO
(40.415534, -82.70936)",,20190318
WISCONSIN,2019,3,129,,208,,426,,420,,,-,4,,1,,5,,,-,1,,,-,,-,"WISCONSIN
(44.639954, -89.732969)",,20190319
WEST NORTH CENTRAL,2019,3,330,,908,,1339,,2144,,2,,10,,11,,32,,,-,1,,,-,,-,,WEST NORTH CENTRAL,20190320
IOWA,2019,3,31,,119,,246,,281,,,-,0,,,-,,-,,-,0,,,-,,-,"IOWA
(42.074659, -93.500061)",,20190321
KANSAS,2019,3,57,,131,,252,,280,,,-,2,,,-,1,,,-,0,,,-,,-,"KANSAS
(38.484729, -98.38018)",,20190322
MINNESOTA,2019,3,,-,192,,,-,419,,,-,3,,,-,2,,,-,0,,,-,,-,"MINNESOTA
(46.349153, -94.198308)",,20190323
